"code","name","city","state","country","x","y"
"SUH","Sur","Sur",,"OM","59.4836","22.5605"
"TTH","Thumrait","Thumrait",,"OM","54.0437","17.647"
"ACU","Achutupo","Achutupo",,"PA","-77.98","9.2"
"AIL","Ailigandi","Ailigandi",,"PA","-79.4094","9.09106"
"BFQ","Bahia Pinas","Bahia Pinas",,"PA","-77.1945","41.2033"
"BLB","Balboa","Balboa",,"PA","-79.5485","8.95149"
"BOC","Bocas Del Toro","Bocas Del Toro",,"PA","-82.2545","9.33588"
"CDE","Caledonia","Caledonia",,"PA","-78.46","41.2873"
"CTE","Carti","Carti",,"PA","-79.1","9.31667"
"CHX","Changuinola","Changuinola",,"PA","-82.5167","9.43333"
"CTD","Chitre","Chitre",,"PA","-80.4333","7.96667"
"ONX","Colon","Colon",,"PA","-79.9014","9.35917"
"OTD","Contadora","Contadora",,"PA","-79.0333","8.63333"
"CZJ","Corazon De Jesus","Corazon De Jesus",,"PA","-77.9833","9.01667"
"DAV","Enrique Malek","David",,"PA","-82.4307","8.42779"
"PVE","El Porvenir","El Porvenir",,"PA","-78.9785","9.5566"
"ELE","El Real","El Real",,"PA","-77.7274","8.13022"
"GHE","Garachine","Garachine",,"PA","-78.3667","8.06667"
"JQE","Jaque","Jaque",,"PA","-78.1622","7.5152"
"PLP","La Palma","La Palma",,"PA","-79.9932","8.47398"
"MPI","Mamitupo","Mamitupo",,"PA","-77.9833","9.18333"
"MPP","Mulatupo","Mulatupo",,"PA","-77.75","8.95"
"NGN","Nargana","Nargana",,"PA","-78.0167","9.06667"
"PAC","Paitilla","Panama City",,"PA","-79.4953","9.03051"
"PTY","Tocumen Intl","Panama City",,"PA","-79.4953","9.03051"
"PYC","Playon Chico","Playon Chico",,"PA","-78.2372","9.30023"
"AML","Puerto Armuellas","Puerto Armuellas",,"PA","-82.8625","8.2787"
"PUE","Puerto Obaldia","Puerto Obaldia",,"PA","-77.5333","8.68333"
"RIZ","Rio Alzucar","Rio Alzucar",,"PA","-78.8","9.38333"
"RSI","Rio Sidra","Rio Sidra",,"PA","-79.2833","9.31667"
"RIT","Rio Tigre","Rio Tigre",,"PA","-78.1829","7.93574"
"SAX","Sambu","Sambu",,"PA","-78.3314","8.06492"
"NBL","San Blas","San Blas",,"PA","-78.2248","9.23886"
"NMG","San Miguel","San Miguel",,"PA","-79.4956","9.03111"
"SFW","Santa Fe","Santa Fe",,"PA","-81.0833","8.53333"
"SYP","Santiago","Santiago",,"PA","-80.9833","8.1"
"TJC","Ticantiki","Ticantiki",,"PA","-77.1945","41.2033"
"TUW","Tubala","Tubala",,"PA","-77.6833","8.73333"
"TUE","Tupile","Tupile",,"PA","-78.5679","9.43517"
"UTU","Ustupo","Ustupo",,"PA","-77.9374","9.12692"
"PYV","Yaviza","Yaviza",,"PA","-77.6862","8.17187"
"ALD","Alerta","Alerta",,"PE","-69.2333","-11.6667"
"ANS","Andahuaylas","Andahuaylas",,"PE","-73.3944","-13.6571"
"ATA","Anta","Anta",,"PE","-77.0702","-11.9803"
"AQP","Rodriguez Ballon","Arequipa",,"PE","-71.5227","-16.3975"
"AYP","Yanamilla","Ayacucho",,"PE","-74.221","-13.1725"
"BLP","Bellavista","Bellavista",,"PE","-78.6881","-5.65814"
"CJA","Cajamarca","Cajamarca",,"PE","-78.5106","-7.1621"
"CHH","Chachapoyas","Chachapoyas",,"PE","-77.868","-6.23467"
"CIX","Cornel Ruiz","Chiclayo",,"PE","-79.8366","-6.76299"
"CHM","Chimbote","Chimbote",,"PE","-78.5996","-9.07338"
"CUZ","Velazco Astete","Cuzco",,"PE","-71.9873","-13.5256"
"HUU","Huanuco","Huanuco",,"PE","-76.2312","-9.92527"
"IBP","Iberia","Iberia",,"PE","-69.4934","-11.4053"
"ILQ","Ilo","Ilo",,"PE","-71.336","-17.6453"
"IQT","C.F. Secada","Iquitos",,"PE","-73.2706","-3.75606"
"JAU","Jauja","Jauja",,"PE","-75.4869","-11.7806"
"JJI","Juanjui","Juanjui",,"PE","-76.7372","-7.17447"
"JUL","Juliaca","Juliaca",,"PE","-70.1352","-15.4992"
"LIM","J Chavez Intl","Lima",,"PE","-77.0465","-12.0931"
"MFT","Machu Picchu","Machu Picchu",,"PE","-72.5158","-13.1628"
"MBP","Moyobamba","Moyobamba",,"PE","-76.9701","-6.03164"
"PIO","Pisco","Pisco",,"PE","-76.2121","-13.715"
"PIU","Piura","Piura",,"PE","-80.6248","-5.19352"
"PCL","Capitan Rolden","Pucallpa",,"PE","-74.5274","-8.38731"
"PEM","Puerto Maldonado","Puerto Maldonado",,"PE","-69.1919","-12.6034"
"UMI","Quincemil","Quincemil",,"PE","0","0"
"RIJ","Rioja","Rioja",,"PE","-77.1601","-6.06825"
"RIM","Rodriguez De Men","Rodriguez De Men",,"PE","0","0"
"SJA","San Juan","San Juan",,"PE","-75.9534","-9.50702"
"APE","San Juan Aposento","San Juan Aposento",,"PE","-66.1057","18.4663"
"SMG","Santa Maria","Santa Maria",,"PE","-39.9833","-7.8"
"SQU","Saposoa","Saposoa",,"PE","-76.7712","-6.93534"
"SYC","Shiringayoc","Shiringayoc",,"PE","-69.2151","-11.8871"
"TCQ","Tacna","Tacna",,"PE","-70.251","-18.0176"
"TYL","Talara","Talara",,"PE","-81.2732","-4.58242"
"TPP","Tarapoto","Tarapoto",,"PE","-76.3695","-6.49335"
"TGI","Tingo Maria","Tingo Maria",,"PE","-76.249","-9.94456"
"TRU","Trujillo","Trujillo",,"PE","-79.03","-8.11237"
"TBP","Tumbes","Tumbes",,"PE","-80.4541","-3.56838"
"YMS","Yurimaguas","Yurimaguas",,"PE","-76.0954","-5.91586"
"AHE","Ahe Airport","Ahe",,"PF","-146.28","-14.4311"
"AAA","Anaa","Anaa",,"PF","-145.511","-17.338"
"APK","Apataki","Apataki",,"PF","-146.35","-15.3021"
"AXR","Arutua","Arutua",,"PF","-146.602","-15.2732"
"AUQ","Atuona","Atuona",,"PF","-139.032","-9.79673"
"BOB","Motu-mute","Bora Bora",,"PF","-151.741","-16.5004"
"FAC","Faaite","Faaite",,"PF","-145.194","-16.7091"
"FHZ","Fakahina","Fakahina",,"PF","-140.14","-16.0042"
"FAV","Fakarava","Fakarava",,"PF","-145.658","-16.0515"
"FGU","Fangatau","Fangatau",,"PF","-140.89","-15.8242"
"GMR","Gambier Is","Gambier Is",,"PF","-141.417","-18.0333"
"HOI","Hao Island","Hao Island",,"PF","-140.889","-18.1385"
"HHZ","Hikueru","Hikueru",,"PF","-142.551","-17.6016"
"HIX","Hiva Oa","Hiva Oa",,"PF","-139.021","-9.75467"
"HUH","Huahine","Huahine",,"PF","-149.551","-17.6536"
"KXU","Katiu","Katiu",,"PF","-144.268","-16.4401"
"KHZ","Kauehi","Kauehi",,"PF","-145.213","-15.9086"
"KKR","Kaukura Atoll","Kaukura Atoll",,"PF","-146.7","-15.75"
"MKP","Makemo","Makemo",,"PF","-143.637","-16.6212"
"XMH","Manihi","Manihi",,"PF","-145.866","-14.3301"
"MVT","Mataiva","Mataiva",,"PF","-148.713","-14.8713"
"MAU","Maupiti","Maupiti",,"PF","-152.241","-16.4252"
"MOZ","Temae","Moorea",,"PF","-149.83","-17.5388"
"NAU","Napuka Island","Napuka Island",,"PF","-141.25","-14.2"
"NHV","Nuku Hiva","Nuku Hiva",,"PF","-140.142","-8.86048"
"NUK","Nukutavake","Nukutavake",,"PF","-138.777","-19.2808"
"PPT","Faaa","Papeete",,"PF","-149.57","-17.535"
"PKP","Puka Puka","Puka Puka",,"PF","-149.407","-17.6797"
"PUK","Pukarua","Pukarua",,"PF","-137.066","-18.2699"
"RFP","Raiatea","Raiatea",,"PF","-151.444","-16.804"
"RVV","Raivavae","Rairua",,"PF","-147.69","-23.8714"
"RGI","Rangiroa","Rangiroa",,"PF","-147.645","-15.1253"
"REA","Reao","Reao",,"PF","-136.443","-18.4697"
"RUR","Rurutu","Rurutu",,"PF","-151.339","-22.4801"
"TKP","Takapoto","Takapoto",,"PF","-145.24","-14.7029"
"TKX","Takaroa","Takaroa",,"PF","-145.033","-14.4489"
"TJN","Takume","Takume",,"PF","-142.2","-15.8167"
"TKV","Tatakoto","Tatakoto",,"PF","-138.336","-17.3306"
"TTI","Tetiaroa Is","Tetiaroa Is",,"PF","-149.579","-16.9811"
"TIH","Tikehau Atoll","Tikehau Atoll",,"PF","-148.167","-15"
"TUB","Tubuai","Tubuai",,"PF","-149.484","-23.3749"
"TPX","Tupai","Tupai",,"PF","-151.797","-16.2491"
"ZTA","Tureira","Tureira",,"PF","-138.5","-20.8167"
"UAH","Ua Huka","Ua Huka",,"PF","-139.548","-8.90777"
"UAP","Ua Pou","Ua Pou",,"PF","-140.08","-9.40426"
"VHZ","Vahitahi","Vahitahi",,"PF","-138.817","-18.7602"
"ABW","Abau","Abau",,"PG","148.565","-10.0437"
"AFR","Afore","Afore",,"PG","0","0"
"AUP","Agaun","Agaun",,"PG","149.333","-9.91667"
"AIH","Aiambak","Aiambak",,"PG","141.263","-7.34385"
"AIE","Aiome","Aiome",,"PG","144.725","-5.14415"
"TAJ","Tadji","Aitape",,"PG","142.346","-3.14187"
"ATP","Airstrip","Aitape",,"PG","142.346","-3.14187"
"AYU","Aiyura","Aiyura",,"PG","145.9","-6.33333"
"GUR","Gurney","Alotau",,"PG","150.45","-10.3063"
"AMF","Ama","Ama",,"PG","149.794","-6.08871"
"AMU","Amanab","Amanab",,"PG","141.217","-3.58434"
"AZB","Amazon Bay","Amazon Bay",,"PG","149.333","-10.3"
"AMG","Amboin","Amboin",,"PG","143.5","-4.6"
"AUJ","Ambunti","Ambunti",,"PG","142.816","-4.21628"
"ADC","Andakombe","Andakombe",,"PG","0","0"
"AGG","Angoram","Angoram",,"PG","144.067","-4.06271"
"AKG","Anguganak","Anguganak",,"PG","142.25","-3.58333"
"AOB","Annanberg","Annanberg",,"PG","144.667","-4.91667"
"APR","April River","April River",,"PG","142.433","-4.3"
"ARP","Aragip","Aragip",,"PG","149.467","-9.9"
"RAW","Arawa","Arawa",,"PG","155.566","-6.22825"
"AOA","Aroa","Aroa",,"PG","146.75","-9.03333"
"AON","Arona","Arona",,"PG","146.013","-6.29901"
"APP","Asapa","Asapa",,"PG","148.133","-8.98333"
"AEK","Aseki","Aseki",,"PG","146.283","-7.36667"
"ASZ","Asirim","Asirim",,"PG","0","0"
"ABP","Atkamba","Atkamba",,"PG","141.1","-6.06667"
"AUI","Aua Island","Aua Island",,"PG","143.065","-1.46634"
"AUV","Aumo","Aumo",,"PG","148.438","-5.74922"
"AWB","Awaba","Awaba",,"PG","142.75","-8.01667"
"AWR","Awar","Awar",,"PG","144.85","-4.11667"
"BAP","Baibara","Baibara",,"PG","149.633","-10.3333"
"VMU","Baimuru","Baimuru",,"PG","144.818","-7.49151"
"BDZ","Baindoung","Baindoung",,"PG","146.95","-6.33333"
